# Bitcoin blocks burying each proof. Regenerated by anchor-publish.sh.
# Verify WITHOUT a node: confirm the named block really has that merkle
# root, against several independent sources. "pending" = not yet mined
# into a block; it still depends on calendar servers until upgraded.
#
# proof	block_height	merkle_root
20260730T053355Z.tsv.ots	960212	7a2b00fcf69ba77e048ec768cdfea1d4006ed8ce52a5e84b39d7321defd1fcad
20260730T053355Z.tsv.ots	960216	c9d2f5ee1470c10b69c04bbb30d0970079ccfd6790a851741553651c51f5e8e2
20260730T053355Z.tsv.ots	960218	92a53851c8204e4f5325f51ff2954445210c2721231d4dbc7bd8c609ea1e3cf3
20260730T160731Z.tsv.ots	960284	5a53663606d29a437f3a23b1d6df29261a49aa067f8b354dc4e6388ab8d49c89
20260730T160731Z.tsv.ots	960285	3d1f933cecf61d25842fbfcf69003912d27067f233851a46b2c962f7fa3b4321
20260730T161805Z.tsv.ots	960284	5a53663606d29a437f3a23b1d6df29261a49aa067f8b354dc4e6388ab8d49c89
20260730T161805Z.tsv.ots	960285	3d1f933cecf61d25842fbfcf69003912d27067f233851a46b2c962f7fa3b4321
20260730T161912Z.tsv.ots	960284	5a53663606d29a437f3a23b1d6df29261a49aa067f8b354dc4e6388ab8d49c89
20260730T161912Z.tsv.ots	960285	3d1f933cecf61d25842fbfcf69003912d27067f233851a46b2c962f7fa3b4321
20260730T172835Z.tsv.ots	960288	cd82f7a952e5f65fd16b3bc7d23a36f283f5132a0fb7d04585db685fad13c695
20260730T174553Z.tsv.ots	960291	9a1ce3693a14cc20dd5562a1a3a6a7d0ba79001d93c8b49732be66b8901a9a8c
20260730T174553Z.tsv.ots	960302	79a289fa451dfe5849a74dbe175169d9673eb6c3ec0c057a881a4cbe82fb2146
20260730T174553Z.tsv.ots	960294	08b0c9fccea320581ecebb5a7b47365d46bd6d7705dbae5e3b30391e65e3a25c
20260730T185932Z.tsv.ots	960300	6c6802e931507a775d599689b9f85c88694ef4a350aefd8f207ac8bbe2d6b0bc
20260730T185932Z.tsv.ots	960296	8848e593eecd3256df1308220bc045709f07d3d13ab069d202447afa483959d5
20260730T185932Z.tsv.ots	960302	79a289fa451dfe5849a74dbe175169d9673eb6c3ec0c057a881a4cbe82fb2146
20260731T002348Z.tsv.ots	pending	pending
20260731T003728Z.tsv.ots	pending	pending
20260731T004415Z.tsv.ots	pending	pending
20260731T005330Z.tsv.ots	pending	pending
20260731T011413Z.tsv.ots	pending	pending
20260731T012642Z.tsv.ots	pending	pending
20260731T014543Z.tsv.ots	pending	pending
20260731T020326Z.tsv.ots	pending	pending
20260731T021705Z.tsv.ots	pending	pending
20260731T022019Z.tsv.ots	pending	pending
20260731T023808Z.tsv.ots	pending	pending
20260731T024946Z.tsv.ots	pending	pending
20260731T031029Z.tsv.ots	pending	pending
